latitude,longitude,Time,Readings
-33.8968033,151.1963350,67155.0,-0.303
-33.8967950,151.1963316,67156.0,-0.322
-33.8967833,151.1963266,67157.0,-0.334
-33.8967750,151.1963249,67158.0,-0.302
-33.8967650,151.1963233,67159.0,-0.319
-33.8967550,151.1963216,67160.0,-0.294
-33.8967484,151.1963200,67161.0,-0.289
-33.8967400,151.1963166,67162.0,-0.296
-33.8967316,151.1963133,67163.0,-0.324
-33.8967217,151.1963100,67164.0,-0.304
-33.8967150,151.1963066,67165.0,-0.345
-33.8967050,151.1963050,67166.0,-0.329
-33.8966933,151.1963066,67167.0,-0.296
-33.8966849,151.1963050,67168.0,-0.291
-33.8966767,151.1963016,67169.0,-0.309
-33.8966666,151.1963000,67170.0,-0.318
-33.8966567,151.1962983,67171.0,-0.301
-33.8966467,151.1962949,67172.0,-0.316
-33.8966383,151.1962949,67173.0,-0.288
-33.8966333,151.1962916,67174.0,-0.327
-33.8966234,151.1962883,67175.0,-0.265
-33.8966150,151.1962850,67176.0,-0.315
-33.8966084,151.1962833,67177.0,-0.311
-33.8966000,151.1962783,67178.0,-0.315
-33.8965917,151.1962749,67179.0,-0.323
-33.8965867,151.1962733,67180.0,-0.286
-33.8965800,151.1962699,67181.0,-0.302
-33.8965700,151.1962666,67182.0,-0.265
-33.8965617,151.1962633,67183.0,-0.295
-33.8965533,151.1962599,67184.0,-0.299
-33.8965451,151.1962566,67185.0,-0.321
-33.8965366,151.1962516,67186.0,-0.305
-33.8965284,151.1962499,67187.0,-0.282
-33.8965200,151.1962483,67188.0,-0.296
-33.8965133,151.1962449,67189.0,-0.266
-33.8965067,151.1962433,67190.0,-0.29
-33.8965017,151.1962416,67191.0,-0.32
-33.8965000,151.1962399,67192.0,-0.313
-33.8964984,151.1962416,67193.0,-0.258
-33.8964950,151.1962399,67194.0,-0.277
-33.8964900,151.1962399,67195.0,-0.296
-33.8964850,151.1962399,67196.0,-0.294
-33.8964834,151.1962449,67197.0,-0.284
-33.8964784,151.1962483,67198.0,-0.281
-33.8964750,151.1962533,67199.0,-0.268
-33.8964717,151.1962616,67200.0,-0.249
-33.8964700,151.1962683,67201.0,-0.291
-33.8964651,151.1962733,67202.0,-0.283
-33.8964634,151.1962799,67203.0,-0.314
-33.8964600,151.1962850,67204.0,-0.28
-33.8964617,151.1962899,67205.0,-0.306
-33.8964634,151.1962966,67206.0,-0.309
-33.8964651,151.1963033,67207.0,-0.34
-33.8964683,151.1963116,67208.0,-0.326
-33.8964733,151.1963166,67209.0,-0.297
-33.8964800,151.1963200,67210.0,-0.291
-33.8964834,151.1963200,67211.0,-0.288
-33.8964900,151.1963233,67212.0,-0.276
-33.8964967,151.1963249,67213.0,-0.259
-33.8965033,151.1963283,67214.0,-0.274
-33.8965117,151.1963316,67215.0,-0.269
-33.8965200,151.1963333,67216.0,-0.234
-33.8965284,151.1963350,67217.0,-0.283
-33.8965350,151.1963350,67218.0,-0.288
-33.8965467,151.1963383,67219.0,-0.278
-33.8965600,151.1963416,67220.0,-0.327
-33.8965700,151.1963416,67221.0,-0.321
-33.8965800,151.1963450,67222.0,-0.323
-33.8965901,151.1963483,67223.0,-0.319
-33.8965984,151.1963516,67224.0,-0.311
-33.8966067,151.1963533,67225.0,-0.311
-33.8966183,151.1963550,67226.0,-0.314
-33.8966250,151.1963583,67227.0,-0.308
-33.8966333,151.1963616,67228.0,-0.31
-33.8966400,151.1963666,67229.0,-0.305
-33.8966467,151.1963683,67230.0,-0.31
-33.8966550,151.1963716,67231.0,-0.306
-33.8966650,151.1963749,67232.0,-0.33
-33.8966733,151.1963766,67233.0,-0.298
-33.8966817,151.1963816,67234.0,-0.326
-33.8966916,151.1963850,67235.0,-0.306
-33.8967016,151.1963883,67236.0,-0.322
-33.8967116,151.1963916,67237.0,-0.306
-33.8967233,151.1963966,67238.0,-0.31
-33.8967316,151.1963983,67239.0,-0.305
-33.8967434,151.1964016,67240.0,-0.309
-33.8967550,151.1964066,67241.0,-0.296
-33.8967634,151.1964099,67242.0,-0.294
-33.8967733,151.1964116,67243.0,-0.294
-33.8967833,151.1964149,67244.0,-0.292
-33.8967933,151.1964183,67245.0,-0.271
-33.8968017,151.1964216,67246.0,-0.323
-33.8968117,151.1964249,67247.0,-0.327
-33.8968199,151.1964283,67248.0,-0.334
-33.8968284,151.1964316,67249.0,-0.333
-33.8968366,151.1964349,67250.0,-0.336
-33.8968467,151.1964399,67251.0,-0.304
-33.8968566,151.1964449,67252.0,-0.306
-33.8968666,151.1964500,67253.0,-0.327
-33.8968750,151.1964533,67254.0,-0.329
-33.8968832,151.1964583,67255.0,-0.331
-33.8968933,151.1964616,67256.0,-0.323
-33.8969017,151.1964650,67257.0,-0.311
-33.8969083,151.1964700,67258.0,-0.312
-33.8969166,151.1964766,67259.0,-0.314
-33.8969233,151.1964816,67260.0,-0.324
-33.8969217,151.1964916,67261.0,-0.333
-33.8969217,151.1965016,67262.0,-0.345
-33.8969166,151.1965083,67263.0,-0.343
-33.8969133,151.1965183,67264.0,-0.34
-33.8969117,151.1965250,67265.0,-0.324
-33.8969083,151.1965316,67266.0,-0.324
-33.8969017,151.1965383,67267.0,-0.309
-33.8968950,151.1965433,67268.0,-0.327
-33.8968866,151.1965466,67269.0,-0.324
-33.8968766,151.1965449,67270.0,-0.331
-33.8968699,151.1965466,67271.0,-0.314
-33.8968633,151.1965483,67272.0,-0.304
-33.8968550,151.1965500,67273.0,-0.322
-33.8968467,151.1965466,67274.0,-0.316
-33.8968416,151.1965466,67275.0,-0.342
-33.8968350,151.1965449,67276.0,-0.354
-33.8968266,151.1965433,67277.0,-0.348
-33.8968199,151.1965433,67278.0,-0.35
-33.8968117,151.1965433,67279.0,-0.332
-33.8968000,151.1965416,67280.0,-0.306
-33.8967900,151.1965350,67281.0,-0.321
-33.8967800,151.1965266,67282.0,-0.347
-33.8967683,151.1965216,67283.0,-0.334
-33.8967600,151.1965216,67284.0,-0.316
-33.8967500,151.1965166,67285.0,-0.303
-33.8967400,151.1965133,67286.0,-0.31
-33.8967300,151.1965083,67287.0,-0.323
-33.8967233,151.1965050,67288.0,-0.348
-33.8967150,151.1965033,67289.0,-0.352
-33.8967083,151.1965016,67290.0,-0.35
-33.8967000,151.1965016,67291.0,-0.287
-33.8966950,151.1965033,67292.0,-0.313
-33.8966849,151.1965016,67293.0,-0.316
-33.8966767,151.1965016,67294.0,-0.3
-33.8966700,151.1965016,67295.0,-0.324
-33.8966650,151.1964983,67296.0,-0.299
-33.8966567,151.1964950,67297.0,-0.282
-33.8966516,151.1964950,67298.0,-0.305
-33.8966450,151.1964899,67299.0,-0.303
-33.8966400,151.1964883,67300.0,-0.296
-33.8966300,151.1964866,67301.0,-0.324
-33.8966217,151.1964850,67302.0,-0.326
-33.8966134,151.1964833,67303.0,-0.35
-33.8966100,151.1964816,67304.0,-0.323
-33.8966033,151.1964800,67305.0,-0.328
-33.8965951,151.1964783,67306.0,-0.3
-33.8965867,151.1964766,67307.0,-0.261
-33.8965784,151.1964733,67308.0,-0.244
-33.8965667,151.1964666,67309.0,-0.294
-33.8965600,151.1964616,67310.0,-0.234
-33.8965517,151.1964583,67311.0,-0.283
-33.8965451,151.1964533,67312.0,-0.272
-33.8965384,151.1964516,67313.0,-0.272
